Scanning I2C...
Device found at 0x36
Device found at 0x3C
AS5600 Ready.
timestamp_us,angle_deg,rpm
2893857,249.79,619.64
2894541,267.10,619.64
2895215,289.69,619.64
2895909,310.87,619.64
2896600,327.48,619.64
2897282,337.50,619.64
2897968,345.15,619.64
2898664,349.89,619.64
2899350,352.71,619.64
2900043,355.17,619.64
2900730,356.84,619.64
2901421,357.80,619.64
2902113,358.51,619.64
2902797,359.30,619.64
2903483,359.82,619.64
2904167,0.26,619.64
2904845,0.70,619.64
2905534,1.14,619.64
2906212,1.67,619.64
2906898,2.02,619.64
2907576,2.46,619.64
2908259,2.99,619.64
2908937,3.78,619.64
2909622,4.39,619.64
2910302,5.19,619.64
2910991,6.42,619.64
2911679,7.38,619.64
2912365,8.53,619.64
2913053,10.20,619.64
2913732,12.74,619.64
2914422,15.03,619.64
2915108,16.35,619.64
2915790,19.25,619.64
2916471,22.85,619.64
2917170,25.22,619.64
2917852,27.86,619.64
2918532,31.64,619.64
2919213,35.60,619.64
2919900,37.62,619.64
2920579,39.90,619.64
2921266,42.19,619.64
2921946,44.21,619.64
2922636,45.09,619.64
2923322,46.58,619.64
2924005,47.81,619.64
2924694,49.31,619.64
2925379,48.69,619.64
2926065,48.96,619.64
2926745,50.45,619.64
2927431,50.80,619.64
2928122,50.80,619.64
2928801,50.98,619.64
2929486,52.82,619.64
2930172,53.26,619.64
2930857,54.14,619.64
2931549,55.81,619.64
2932228,55.63,619.64
2932915,55.46,619.64
2933595,56.07,619.64
2934273,56.69,619.64
2934968,57.83,619.64
2935665,58.36,619.64
2936350,59.50,619.64
2937042,61.61,619.64
2937734,63.02,619.64
2938416,63.72,619.64
2939109,65.39,619.64
2939792,66.97,619.64
2940473,68.12,619.64
2941164,69.96,619.64
2941850,72.95,619.64
2942535,75.94,619.64
2943218,79.45,619.64
2943911,80.51,619.64
2944590,84.20,619.64
2945272,88.07,619.64
2945951,92.90,619.64
2946630,96.24,619.64
2947320,102.48,619.64
2948019,108.98,619.64
2948696,112.94,619.64
2949377,118.21,619.64
2950066,125.68,619.64
2950752,132.54,619.64
2951433,136.58,620.14
2952128,141.33,620.14
2952808,147.48,620.14
2953490,150.64,620.14
2954174,153.98,620.14
2954861,158.03,620.14
2955549,161.46,620.14
2956229,163.92,620.14
2956916,166.64,620.14
2957604,169.28,620.14
2958287,170.68,620.14
2958967,171.91,620.14
2959660,173.58,620.14
2960347,175.08,620.14
2961043,176.48,620.14
2961738,177.45,620.14
2962430,178.68,620.14
2963128,179.74,620.14
2963814,180.35,620.14
2964500,181.14,620.14
2965186,181.85,620.14
2965867,182.46,620.14
2966556,182.99,620.14
2967231,183.43,620.14
2967924,183.87,620.14
2968617,184.39,620.14
2969295,184.75,620.14
2969983,185.10,620.14
2970684,185.54,620.14
2971370,185.80,620.14
2972056,186.15,620.14
2972742,186.42,620.14
2973428,186.68,620.14
2974115,187.03,620.14
2974802,187.38,620.14
2975488,187.73,620.14
2976174,188.17,620.14
2976861,188.61,620.14
2977547,189.05,620.14
2978221,189.58,620.14
2978914,190.28,620.14
2979601,191.07,620.14
2980285,191.87,620.14
2980977,192.92,620.14
2981664,193.97,620.14
2982352,195.03,620.14
2983044,196.61,620.14
2983731,198.28,620.14
2984417,200.04,620.14
2985106,201.80,620.14
2985794,204.26,620.14
2986474,207.16,620.14
2987165,209.88,620.14
2987845,213.57,620.14
2988532,218.67,620.14
2989219,224.21,620.14
2989911,232.82,620.14
2990598,246.36,620.14
2991280,266.22,620.14
2991967,285.91,620.14
2992664,307.71,620.14
2993345,325.02,620.14
2994046,337.32,620.14
2994739,344.18,620.14
2995423,349.28,620.14
2996115,352.53,620.14
2996807,355.08,620.14
2997493,356.57,620.14
2998184,357.63,620.14
2998865,358.51,620.14
2999552,359.21,620.14
3000227,359.82,620.14
3000921,0.18,620.14
3001608,0.62,620.14
3002287,1.14,620.14
3002973,1.58,620.14
3003670,2.02,620.14
3004360,2.37,620.14
3005054,3.08,620.14
3005744,3.78,620.14
3006429,4.39,620.14
3007121,5.19,620.14
3007803,6.33,620.14
3008483,7.38,620.14
3009168,8.26,620.14
3009847,10.11,620.14
3010542,12.48,620.14
3011221,14.68,620.14
3011908,16.52,620.14
3012582,19.16,620.14
3013270,22.50,620.14
3013948,25.22,620.14
3014634,27.77,620.14
3015314,31.55,620.14
3016004,34.89,620.14
3016690,36.12,620.14
3017376,38.41,620.14
3018067,41.40,620.14
3018747,45.00,620.14
3019435,45.35,620.14
3020127,45.79,620.14
3020816,47.02,620.14
3021506,48.43,620.14
3022191,48.69,620.14
3022877,48.69,620.14
3023568,50.19,620.14
3024247,50.36,620.14
3024940,50.36,620.14
3025625,51.06,620.14
3026315,52.82,620.14
3027004,53.61,620.14
3027690,52.91,620.14
3028370,53.53,620.14
3029062,54.58,620.14
3029748,55.72,620.14
3030438,56.43,620.14
3031136,57.48,620.14
3031821,58.10,620.14
3032506,58.62,620.14
3033185,59.59,620.14
3033865,61.35,620.14
3034554,62.23,620.14
3035228,63.28,620.14
3035921,63.81,620.14
3036595,65.39,620.14
3037270,68.47,620.14
3037949,70.84,620.14
3038629,72.77,620.14
3039319,75.50,620.14
3040016,79.80,620.14
3040694,81.30,620.14
3041379,84.29,620.14
3042065,87.10,620.14
3042746,90.35,620.14
3043427,95.36,620.14
3044119,101.51,620.14
3044803,107.31,620.14
3045489,112.50,620.14
3046181,119.00,620.14
3046861,125.77,620.14
3047546,131.92,620.14
3048220,136.49,619.92
3048912,141.24,619.92
3049602,145.55,619.92
3050285,150.73,619.92
3050972,153.98,619.92
3051663,157.68,619.92
3052344,161.02,619.92
3053041,163.83,619.92
3053728,165.94,619.92
3054424,168.31,619.92
3055119,171.04,619.92
3055805,172.62,619.92
3056492,174.11,619.92
3057181,175.25,619.92
3057866,176.48,619.92
3058554,177.36,619.92
3059234,178.42,619.92
