Scanning I2C...
Device found at 0x36
Device found at 0x3C
AS5600 Ready.
timestamp_us,angle_deg,rpm
3261256,133.59,0.00
3261938,133.07,0.00
3262615,132.54,0.00
3263307,132.01,0.00
3263989,131.57,0.00
3264681,131.04,0.00
3265358,130.61,0.00
3266056,130.17,0.00
3266732,129.81,0.00
3267422,129.37,0.00
3268104,128.94,0.00
3268784,128.41,0.00
3269461,127.71,0.00
3270150,127.00,0.00
3270827,126.39,0.00
3271510,125.68,0.00
3272194,124.89,0.00
3272876,124.19,0.00
3273564,123.49,0.00
3274253,122.87,0.00
3274941,122.34,0.00
3275624,121.73,0.00
3276313,121.20,0.00
3276995,120.67,0.00
3277682,120.23,0.00
3278359,119.71,0.00
3279054,119.09,0.00
3279730,118.56,0.00
3280414,117.77,0.00
3281097,117.07,0.00
3281781,116.46,0.00
3282458,115.66,0.00
3283142,115.05,0.00
3283813,114.35,0.00
3284496,113.73,0.00
3285167,113.20,0.00
3285842,112.59,0.00
3286530,111.97,0.00
3287212,111.53,0.00
3287895,111.01,0.00
3288577,110.39,0.00
3289260,109.86,0.00
3289948,109.25,0.00
3290632,108.63,0.00
3291309,108.02,0.00
3291992,107.23,0.00
3292685,106.52,0.00
3293362,106.00,0.00
3294056,105.38,0.00
3294727,104.77,0.00
3295411,104.33,0.00
3296097,103.80,0.00
3296782,103.27,0.00
3297464,102.92,0.00
3298154,102.48,0.00
3298836,101.95,0.00
3299520,101.43,0.00
3300206,100.90,0.00
3300883,100.37,0.00
3301571,99.76,0.00
3302259,99.23,0.00
3302936,98.61,0.00
3303613,98.09,0.00
3304298,97.65,0.00
3304984,97.21,0.00
3305676,96.86,0.00
3306358,96.59,0.00
3307056,96.33,0.00
3307732,96.06,0.00
3308420,95.89,0.00
3309102,95.71,0.00
3309782,95.36,0.00
3310452,95.19,0.00
3311141,94.92,0.00
3311813,94.66,0.00
3312495,94.39,0.00
3313183,94.13,0.00
3313860,94.04,0.00
3314547,94.04,0.00
3315229,94.04,0.00
3315914,94.22,0.00
3316590,94.31,0.00
3317267,94.66,0.00
3317953,95.01,0.00
3318629,95.27,0.00
3319311,95.62,0.00
3319997,95.98,0.00
3320695,96.42,0.00
3321374,96.86,0.00
3322063,97.29,0.00
3322745,97.73,0.00
3323427,98.35,0.00
3324116,99.05,0.00
3324793,99.76,0.00
3325463,100.72,0.00
3326147,101.87,0.00
3326825,102.92,0.00
3327509,104.15,0.00
3328192,105.47,0.00
